Height,Weight,Age,G
1.639876775,88.88371149,31, M 
1.679358724,78.25113379,33, M 
1.560651536,80.37999823,31, M 
1.704153034,79.04224139,32, W 
1.79027445,85.49062653,29, M 
1.911421649,88.5835029,32, M 
1.663548695,79.33461423,40, W 
1.617632971,75.7753658,31, M 
1.786051085,79.66932883,30, M 
1.747162684,91.5542976,37, M 
1.655670633,75.34244175,35, W 
1.628605156,82.31356119,35, W 
1.968679535,88.41236743,28, W 
1.653684954,81.87611442,37, M 
1.761080287,82.98887456,32, M 
1.653202374,75.11231614,36, W 
1.648888825,85.5142396,33, M 
1.899967205,88.90171393,28, M 
1.966309885,85.96085431,34, W 
1.741998915,76.66068731,34, W 
1.741075942,88.45516565,28, W 
1.612871729,81.6655333,33, W 
1.656489597,75.62068939,37, W 
1.72110146,82.16776399,30, M 
1.756174034,83.30718155,33, M 
1.829358793,79.55673874,31, M 
1.698847955,72.10698615,36, W 
1.700189813,77.66756459,30, W 
1.831801474,79.40172367,34, W 
1.709929682,79.91983281,33, M 
1.712221316,80.63069231,27, W 
1.805517303,82.27731978,35, W 
1.713958334,84.39220703,32, W 
1.649762191,86.7008155,32, W 
1.758741389,81.86246666,28, M 
1.792017999,83.05445459,29, M 
1.718535665,88.04269294,30, M 
1.729952597,84.86385316,32, W 
1.712807211,75.24796772,28, M 
1.709011335,81.97575101,38, M 
1.640834783,85.53214919,36, M 
1.94399554,91.88448496,28, W 
1.727417703,90.68082982,29, M 
1.743138342,79.3969314,29, M 
1.762730453,77.82361257,34, M 
1.697511195,83.21930606,36, M 
1.714435254,74.4474832,30, W 
1.932052099,87.36478822,33, M 
1.784892406,90.27512977,36, M 
1.815831712,79.84390902,34, W 
1.650472277,79.58440293,31, W 
1.792789657,87.69345696,39, M 
1.67885507,75.45209642,30, W 
1.690690259,90.72138223,32, M 
1.796923105,81.17547058,32, W 
1.82721985,78.28177643,29, W 
1.578087266,73.66340042,34, W 
1.854176377,82.57236503,28, M 
1.757204664,80.51849073,35, M 
1.718615212,86.22088886,33, W 
1.664190798,79.2100506,26, W 
1.519977117,71.31784102,33, W 
1.625065593,74.40700302,32, W 
1.867547324,84.4482446,29, W 
1.840448649,89.42669938,29, W 
1.875774306,81.99900275,35, M 
1.763281509,79.36824087,35, M 
1.813212511,82.64374176,26, W 
1.754785061,84.54170623,32, W 
1.770365298,79.83725078,32, W 
1.758036986,86.59735444,26, M 
1.754062022,70.50900301,32, W 
1.694354913,79.56663088,28, M 
1.740616338,85.112612,30, W 
1.736344447,88.90881309,34, M 
1.765773682,89.65008339,35, M 
1.700068249,82.31980191,31, M 
1.828765512,82.09619676,30, W 
1.601280265,78.36689506,32, W 
1.556739777,76.97634719,36, W 
1.63599473,74.08435736,43, W 
1.848048272,89.61795796,29, M 
1.795050848,85.13468996,32, M 
1.774117628,81.22642698,37, M 
1.51843395,75.47961872,35, W 
1.809854016,79.54445512,35, W 
1.877540786,95.54229075,38, M 
1.666959379,77.42497427,32, M 
1.816094481,88.07562923,35, M 
1.785250368,80.02515524,36, W 
1.79972788,84.73054679,29, M 
1.855313202,85.37290669,39, M 
1.740219598,80.75545254,36, M 
1.693573559,90.30088941,35, M 
1.64798456,82.27973845,32, M 
1.749776948,81.85404916,36, W 
1.61318678,79.67969968,28, W 
1.678559796,79.60513991,27, W 
1.799023533,81.32607644,35, W 
1.800451645,87.33464021,36, M 
1.775207911,75.37450513,33, W 
1.778837808,95.56902653,31, M 
1.633294972,67.08406449,39, W 
1.747087665,84.0600868,32, W 
1.690341788,88.15799053,36, M 
1.575532078,81.33929239,36, W 
1.861384684,80.61709981,34, W 
1.725536187,79.04831015,39, W 
1.721946923,76.23772576,33, W 
1.8764388,87.20167983,33, M 
1.864313051,84.44105071,34, M 
1.679507935,77.48579691,33, W 
1.786199775,85.12232114,30, M 
1.783514632,80.88545505,31, M 
1.7492347,91.94049496,30, M 
1.734624957,80.46103592,34, M 
1.747571037,82.41774859,36, M 
1.63699169,63.69440919,34, W 
1.727910517,78.12779331,32, W 
1.896225058,85.78479313,32, W 
